,Source Code,Reporting Code,Session Code,Session Name,Total Fees,Att. Entered Date,Checked In,Reg Method,Organization,City,State,Zip,Country,Age Ranges,Gender/Sex,combined_id,domain,Year
13,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/13/2020 10:54:56 AM,False,WEB,None,San Leandro,CA,94579,United States,25-34,Female,13,gmail.com,2020
14,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 5:42:54 PM,False,WEB,None,reno,NV,89523,United States,11-17,Prefer not to respond,14,sbcglobal.net,2020
15,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/6/2020 9:24:58 PM,False,WEB,None,San Jose,CA,95123,United States,25-34,Male,15,yahoo.com,2020
16,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 11:23:29 AM,False,WEB,None,VACAVILLE,CA,95687,United States,55-64,Female,16,extremeoutback.com,2020
17,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 11:30:46 AM,False,WEB,None,VACAVILLE,CA,95687,United States,25-34,Female,17,gmail.com,2020
18,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/22/2020 2:06:36 PM,False,WEB,None,Reno,NV,89509,United States,25-34,Gender non-conforming,18,unr.edu,2020
19,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/22/2020 2:11:40 PM,False,WEB,None,Reno,NV,89509,United States,25-34,Female,19,hotmail.com,2020
20,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 10:13:04 AM,False,WEB,None,Easthampton,MA,01027,United States,25-34,Female,20,gmail.com,2020
21,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:06:36 PM,False,WEB,None,Sunnyvale,CA,94086,United States,35-44,Prefer not to respond,21,tomirixi.com,2020
22,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:11:30 PM,False,WEB,None,Sunnyvale,CA,94086,United States,11-17,Prefer not to respond,22,gmail.com,2020
23,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 1:32:50 PM,False,WEB,None,Daly City,CA,94015,United States,25-34,Female,23,gmail.com,2020
24,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:13:36 PM,False,WEB,None,Sunnyvale,CA,94086,United States,11-17,Prefer not to respond,24,tomirixi.com,2020
25,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/31/2019 12:47:15 AM,False,WEB,None,Pasadena,CA,91106,United States,25-34,Female,25,gmail.com,2020
26,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/14/2020 5:02:19 PM,False,WEB,None,Oakland,CA,94619,United States,25-34,Prefer not to respond,26,gmail.com,2020
27,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/25/2020 10:55:50 AM,False,WEB,None,Oakland,CA,94601,United States,11-17,Female,27,aim.com,2020
28,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/2/2020 10:18:50 AM,False,WEB,None,Marysville,CA,95901,United States,11-17,Female,28,outlook.com,2020
29,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/2/2020 10:26:40 AM,False,WEB,None,Marysville,CA,95901,United States,35-44,Female,29,yahoo.com,2020
30,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/3/2020 1:32:10 PM,False,WEB,None,Fairfield,CA,94533,United States,25-34,Male,30,gmail.com,2020
31,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/12/2020 4:12:35 PM,False,WEB,None,Glendora,CA,91740,United States,25-34,Male,31,gmail.com,2020
32,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 10:30:09 PM,False,WEB,None,Santa Cruz,CA,95060,United States,25-34,Male,32,gmail.com,2020
33,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/20/2020 4:25:01 PM,False,WEB,None,Yuba City,CA,95993,United States,18-24,Female,33,ucdavis.edu,2020
34,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/4/2020 10:13:16 PM,False,WEB,None,Marina,CA,93933,United States,18-24,Male,34,gmail.com,2020
35,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/4/2020 10:05:06 PM,False,WEB,None,Marina,CA,93933,United States,18-24,Female,35,gmail.com,2020
36,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/4/2020 9:57:14 PM,False,WEB,None,Marina,CA,93933,United States,18-24,Female,36,gmail.com,2020
37,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:18:59 PM,False,WEB,None,San Jose,CA,95132,United States,11-17,Male,37,gmail.com,2020
38,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 9:43:58 PM,False,WEB,None,Fremont,CA,94536,United States,25-34,Male,38,gmail.com,2020
39,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/25/2020 10:10:40 PM,False,WEB,None,Folsom,CA,95630,United States,18-24,Female,39,gmail.com,2020
40,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 3:13:07 PM,False,WEB,None,Milpitas,CA,95035,United States,25-34,Female,40,gmail.com,2020
41,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 12:44:06 PM,False,WEB,None,North Fork,CA,93643,United States,18-24,Male,41,gmail.com,2020
42,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/14/2020 8:43:43 AM,False,WEB,None,Oakland,CA,94619,United States,18-24,Male,42,gmail.com,2020
43,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/28/2020 8:36:52 AM,False,WEB,None,San Jose,CA,95125,United States,18-24,Male,43,gmail.com,2020
44,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/14/2020 11:42:26 PM,False,WEB,None,Milpitas,CA,95035,United States,25-34,Male,44,gmail.com,2020
45,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:40:56 AM,False,WEB,None,San Jose,CA,95122,United States,Prefer not to say,Prefer not to respond,45,gmail.com,2020
46,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/28/2020 1:32:44 AM,False,WEB,None,San Jose,CA,95118,United States,18-24,Female,46,gmail.com,2020
47,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:45:17 PM,False,WEB,None,Morgan Hill,CA,95037,United States,11-17,Female,47,scottgregg.com,2020
48,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/28/2020 6:44:57 PM,False,WEB,None,Cos Cob,CT,06807,United States,18-24,Female,48,gmail.com,2020
49,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/30/2019 10:23:11 AM,False,WEB,None,San Jose,CA,95129,United States,55-64,Male,49,icloud.com,2020
50,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/30/2019 10:02:24 AM,False,WEB,None,San Jose,CA,95129,United States,11-17,Female,50,yahoo.com,2020
51,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/12/2020 4:00:20 PM,False,WEB,None,La Verne,CA,91750,United States,25-34,Female,51,gmail.com,2020
52,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 1:30:37 PM,False,WEB,None,Davis,CA,95616,United States,18-24,Male,52,gmail.com,2020
53,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:06:59 AM,False,WEB,None,San jose,CA,95122,United States,Prefer not to say,Prefer not to respond,53,yahoo.com,2020
54,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 7:52:20 AM,False,WEB,None,Brentwood,CA,94513,United States,25-34,Male,54,gmail.com,2020
55,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 7:47:24 AM,False,WEB,None,Brentwood,CA,94513,United States,25-34,Female,55,gmail.com,2020
56,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/5/2020 12:07:33 PM,False,WEB,None,Martinez,CA,94553,United States,Prefer not to say,Prefer not to respond,56,yahoo.com,2020
57,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 6:55:27 PM,False,WEB,None,Palo Alto,CA,94303,United States,18-24,Gender non-conforming,57,ucdavis.edu,2020
58,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/24/2020 3:56:30 PM,False,WEB,None,Fairfield,CA,94533,United States,25-34,Female,58,yahoo.com,2020
59,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/16/2020 12:59:27 PM,False,WEB,None,Sacramento,CA,95835,United States,18-24,Female,59,gmail.com,2020
60,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/29/2020 11:15:42 PM,False,WEB,None,Cupertino,CA,95014,United States,11-17,Female,60,gmail.com,2020
61,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/18/2020 5:49:29 PM,False,WEB,None,San Jose,CA,95148,United States,18-24,Male,61,gmail.com,2020
62,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/22/2020 10:31:15 AM,False,WEB,None,Santa Cruz,CA,95060,United States,18-24,Male,62,outlook.com,2020
63,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/31/2020 9:10:59 PM,False,WEB,None,Rocklin,CA,95765,United States,18-24,Female,63,gmail.com,2020
64,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 12:26:06 AM,False,WEB,None,San Jose,CA,95148,United States,18-24,Male,64,outlook.com,2020
65,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 7:24:10 PM,False,WEB,None,San Francisco,CA,94103,United States,25-34,Female,65,gmail.com,2020
66,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/23/2020 5:57:30 PM,False,WEB,None,Woodland,CA,95776,United States,18-24,Female,66,aol.com,2020
67,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/14/2019 6:36:46 PM,False,WEB,None,Huntington Beach,CA,92646,United States,25-34,Female,67,gmail.com,2020
68,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/25/2020 10:37:02 PM,False,WEB,None,Hayward,CA,94544,United States,18-24,Female,68,gmail.com,2020
69,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/25/2020 11:26:58 PM,False,WEB,None,Hayward,CA,94544,United States,11-17,Female,69,gmail.com,2020
70,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/29/2020 9:35:45 PM,False,WEB,None,San Francisco,CA,94112,United States,25-34,Female,70,gmail.com,2020
71,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 5:42:30 PM,False,WEB,None,San Francisco,CA,94132,United States,18-24,Male,71,gmail.com,2020
72,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/9/2020 10:13:57 PM,False,WEB,None,San Jose,CA,95112,United States,18-24,Male,72,yahoo.com,2020
73,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 11:13:35 AM,False,WEB,None,Santa Cruz,CA,95062,United States,25-34,Male,73,gmail.com,2020
74,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/29/2020 9:03:56 PM,False,WEB,None,Daly City,CA,94015,United States,25-34,Male,74,hotmail.com,2020
75,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/3/2019 3:12:16 PM,False,WEB,None,Walnut creek,CA,94597,United States,25-34,Female,75,yahoo.com,2020
76,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/16/2020 12:49:56 PM,False,WEB,None,Sacramento,CA,95834,United States,18-24,Male,76,gmail.com,2020
77,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:20:36 PM,False,WEB,None,Sunnyvale,CA,94087,United States,11-17,Female,77,gmail.com,2020
78,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/28/2020 6:38:51 PM,False,WEB,None,Santa Clara,CA,95050,United States,18-24,Female,78,gmail.com,2020
79,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/28/2020 9:07:41 PM,False,WEB,None,San Francisco,CA,94134,United States,25-34,Male,79,yahoo.com,2020
80,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:28:52 PM,False,WEB,None,Sunnyvale,CA,94086,United States,11-17,Prefer not to respond,80,yahoo.com,2020
81,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/15/2020 7:20:43 PM,False,WEB,None,San Jose,CA,95132,United States,18-24,Male,81,gmail.com,2020
82,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:04:37 AM,False,WEB,None,Anaheim,CA,92807,United States,25-34,Male,82,yahoo.com,2020
83,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 11:49:54 AM,False,WEB,None,San Francisco,CA,94116,United States,11-17,Female,83,gmail.com,2020
84,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/14/2020 7:15:28 PM,False,WEB,None,San Jose,CA,95132,United States,18-24,Female,84,gmail.com,2020
85,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:06:46 AM,False,WEB,None,San Francisco,CA,94121,United States,18-24,Female,85,gmail.com,2020
86,CANCEL,GENERAL,CANCEL,Cancellation Fee,$75.00,10/29/2019 10:40:10 AM,False,WEB,None,San Francisco,CA,94116,United States,25-34,Male,86,gmail.com,2020
87,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:09:43 AM,False,WEB,None,Cupertino,CA,95014,United States,18-24,Male,87,gmail.com,2020
88,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:25:04 PM,False,WEB,None,San Lorenzo,CA,94580,United States,35-44,Male,88,gmail.com,2020
89,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/16/2020 11:07:48 AM,False,WEB,None,Fullerton,CA,92831,United States,18-24,Female,89,verizon.net,2020
90,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/31/2019 9:01:23 PM,False,WEB,None,San Jose,CA,95127,United States,18-24,Female,90,gmail.com,2020
91,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 9:13:02 PM,False,WEB,None,san jose,CA,95133,United States,18-24,Female,91,gmail.com,2020
92,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/6/2020 5:40:41 PM,False,WEB,None,El Monte,CA,91732,United States,25-34,Female,92,gmail.com,2020
93,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/10/2020 7:01:16 AM,False,WEB,None,Sparks,NV,89434,United States,45-54,Prefer not to respond,93,gmail.com,2020
94,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/17/2019 2:43:10 AM,False,WEB,None,San Jose,CA,95116,United States,18-24,Male,94,gmail.com,2020
95,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/17/2019 8:47:39 AM,False,WEB,None,Redding,CA,96001,United States,25-34,Female,95,gmail.com,2020
96,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/25/2019 7:48:12 PM,False,WEB,None,San Carlos,CA,94070,United States,18-24,Male,96,gmail.com,2020
97,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/1/2020 9:32:40 PM,False,WEB,None,Chandler,AZ,85224,United States,25-34,Male,97,gmail.com,2020
98,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/9/2020 9:48:25 AM,False,WEB,None,Burlingame,CA,94010,United States,18-24,Female,98,yahoo.com,2020
99,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,4/12/2020 7:09:10 PM,False,WEB,None,Stockton,CA,95207,United States,18-24,Male,99,sbcglobal.net,2020
100,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/2/2020 12:14:37 PM,False,WEB,None,Milpitas,CA,95035,United States,11-17,Female,100,gmail.com,2020
101,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/26/2020 6:35:10 PM,False,WEB,None,Saint Loius,MO,63146,United States,18-24,Gender non-conforming,101,gmail.com,2020
102,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/5/2020 6:04:26 PM,False,WEB,None,Fairfield,CA,94533,United States,18-24,Female,102,icloud.com,2020
103,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 11:40:32 AM,False,WEB,Abraham Lincoln High School,San Francisco,CA,94030,United States,11-17,Female,103,gmail.com,2020
104,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 11:42:18 AM,False,WEB,Abraham Lincoln High School,San Francisco,CA,94030,United States,11-17,Female,104,gmail.com,2020
105,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/25/2020 6:29:25 PM,False,WEB,None,Oakland,CA,94601,United States,11-17,Female,105,gmail.com,2020
106,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:15:41 PM,False,WEB,None,Los Altos Hills,CA,94022,United States,11-17,Male,106,gmail.com,2020
107,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/9/2020 12:34:11 AM,False,WEB,None,Marina,CA,93933,United States,18-24,Male,107,gmail.com,2020
108,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/31/2019 9:18:45 PM,False,WEB,None,Marina,CA,93933,United States,Prefer not to say,Female,108,gmail.com,2020
109,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/22/2020 1:20:22 PM,False,WEB,None,Lehi,UT,84043,United States,18-24,Female,109,gmail.com,2020
110,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 12:36:31 PM,False,WEB,None,San Jose,CA,95148,United States,25-34,Male,110,gmail.com,2020
111,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 9:36:55 PM,False,WEB,None,Fremont,CA,94536,United States,25-34,Female,111,gmail.com,2020
112,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/18/2020 6:16:25 PM,False,WEB,None,San Jose,CA,95148,United States,18-24,Female,112,gmail.com,2020
113,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/2/2020 1:12:50 AM,False,WEB,None,San Jose,CA,95136,United States,25-34,Female,113,gmail.com,2020
114,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 2:08:58 PM,False,WEB,None,Lodi,CA,95242,United States,11-17,Female,114,gmail.com,2020
115,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/11/2020 11:54:57 PM,False,WEB,None,salinas,CA,93906,United States,18-24,Male,115,gmail.com,2020
116,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/27/2020 3:01:48 PM,False,WEB,None,Discovery Bay,CA,94505,United States,25-34,Male,116,outlook.com,2020
117,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/28/2020 6:59:48 PM,False,WEB,None,Roselle,IL,60172,United States,25-34,Female,117,yahoo.com,2020
118,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/20/2020 8:20:26 AM,False,WEB,None,Sacramento,CA,95822,United States,25-34,Male,118,gmail.com,2020
119,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 12:08:24 PM,False,WEB,None,Sunnyvale,CA,94086,United States,35-44,Prefer not to respond,119,tomirixi.com,2020
120,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/21/2020 6:19:34 PM,False,WEB,None,San Jose,CA,95118,United States,11-17,Male,120,gmail.com,2020
121,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/21/2020 5:23:37 PM,False,WEB,None,San Jose,CA,95118,United States,18-24,Female,121,gmail.com,2020
122,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/29/2020 11:26:13 AM,False,WEB,None,Sunnyvale,CA,94087,United States,11-17,Female,122,gmail.com,2020
123,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/4/2020 10:20:39 PM,False,WEB,None,Marina,CA,93933,United States,18-24,Male,123,gmail.com,2020
124,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/2/2019 1:55:30 PM,False,WEB,None,San Francisco,CA,94112,United States,11-17,Female,124,gmail.com,2020
125,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/30/2019 1:29:30 PM,False,WEB,None,San Francisco,CA,94112,United States,18-24,Female,125,gmail.com,2020
126,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 11:13:31 AM,False,WEB,None,Santa cruz,CA,95062,United States,25-34,Female,126,gmail.com,2020
127,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 11:54:45 AM,False,WEB,None,San Francisco,CA,94131,United States,11-17,Male,127,me.com,2020
128,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/7/2020 3:42:10 PM,False,WEB,None,Santa Clara,CA,95051,United States,18-24,Female,128,gmail.com,2020
129,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/7/2020 2:54:13 PM,False,WEB,None,San Francisco,CA,94109,United States,18-24,Male,129,gmail.com,2020
130,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/9/2020 1:17:52 PM,False,WEB,None,San Jose,CA,95127,United States,25-34,Male,130,gmail.com,2020
131,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/24/2020 12:13:51 PM,False,WEB,None,Davis,CA,94547,United States,18-24,Female,131,gmail.com,2020
132,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 12:40:19 AM,False,WEB,None,Castro Valley,CA,94552,United States,11-17,Female,132,gmail.com,2020
133,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 5:17:46 PM,False,WEB,None,Hayward,CA,94542,United States,11-17,Female,133,gmail.com,2020
134,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/29/2020 7:30:19 PM,False,WEB,None,San Francisco,CA,94133,United States,25-34,Female,134,gmail.com,2020
135,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,12/25/2019 8:42:17 PM,False,WEB,None,Salinas,CA,93906,United States,18-24,Gender non-conforming,135,gmail.com,2020
136,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:04:07 AM,False,WEB,None,Lancaster,CA,93534,United States,25-34,Male,136,hotmail.com,2020
137,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/25/2020 10:50:35 AM,False,WEB,None,Oakland,CA,94601,United States,25-34,Female,137,aim.com,2020
138,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/5/2020 4:43:33 PM,False,WEB,None,San Leandro,CA,94579,United States,25-34,Male,138,gmail.com,2020
139,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/5/2020 5:36:14 PM,False,WEB,None,Fairfield,CA,94533,United States,25-34,Male,139,gmail.com,2020
140,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/5/2020 5:56:35 PM,False,WEB,None,Fairfield,CA,94533,United States,25-34,Female,140,gmail.com,2020
141,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/27/2020 2:57:48 PM,False,WEB,None,DISCOVERY BAY,CA,94505,United States,18-24,Male,141,hotmail.com,2020
142,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/27/2020 2:54:11 PM,False,WEB,None,DISCOVERY BAY,CA,94505,United States,25-34,Female,142,gmail.com,2020
143,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/16/2020 11:21:46 AM,False,WEB,None,Chico,CA,95926,United States,18-24,Gender non-conforming,143,gmail.com,2020
144,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/3/2020 7:21:50 PM,False,WEB,None,Aiea,HI,96701,United States,18-24,Gender non-conforming,144,gmail.com,2020
145,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/12/2019 4:11:10 PM,False,WEB,None,Palm Beach Gardens,FL,33412,United States,18-24,Male,145,gmail.com,2020
146,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/25/2020 5:51:46 PM,False,WEB,None,Folsom,CA,95630,United States,18-24,Female,146,sbcglobal.net,2020
147,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 1:05:16 PM,False,WEB,None,San Jose,CA,95126,United States,11-17,Female,147,gmail.com,2020
148,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/31/2020 12:55:46 PM,False,WEB,None,San Jose,CA,95126,United States,35-44,Female,148,outlook.com,2020
149,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/12/2020 7:59:58 AM,False,WEB,None,San Diego,CA,92120,United States,35-44,Female,149,gmail.com,2020
